nr,company,location_hq,region,usstate,country,continent,laid_off,date_layoffs,percentage,company_size_before_layoffs,company_size_after_layoffs,industry,stage,money_raised_in__mil,year,latitude,longitude
1915,ShareChat,Bengaluru,,,India,Asia,30.0,03.08.24,5,600.0,570.0,Marketing,Series D,222,2024,"12,98815675","77,62260004"
1916,Intel,Santa Clara,San Francisco Bay Area,California,USA,North America,15000.0,01.08.24,15,100000.0,85000.0,Hardware,Post-IPO,12,2024,"37,354107","-121,955238"
1918,Bungie,Seattle,,Washington,USA,North America,220.0,31.07.24,17,1294.0,1074.0,Consumer,Acquired,100,2024,"47,6038321","-122,330062"
1919,Delivery Hero,Berlin,,Berlin,Germany,Europe,200.0,31.07.24,,,,Food,Post-IPO,10,2024,"52,5170365","13,3888599"
1922,Moxion Power,Richmond,San Francisco Bay Area,California,USA,North America,248.0,29.07.24,100,248.0,,Energy,Unknown,124,2024,"37,5385087","-77,43428"
1924,Pocket FM,Bengaluru,,,India,Asia,200.0,27.07.24,,,,Media,Series D,212,2024,"12,98815675","77,62260004"
1925,WayCool,Chennai,,,India,Asia,200.0,26.07.24,,,,Food,Unknown,363,2024,"13,0836939","80,270186"
1927,Humble Games,San Francisco,San Francisco Bay Area,California,USA,North America,36.0,23.07.24,100,36.0,,Media,Acquired,4,2024,"37,7792588","-122,4193286"
1928,Cohere,Toronto,,,Canada,North America,20.0,23.07.24,5,400.0,380.0,AI,Series D,935,2024,"43,6534817","-79,3839347"
1930,Magic Leap,Miami,,Florida,USA,North America,75.0,19.07.24,,,,Consumer,Series E,4,2024,"25,7741728","-80,19362"
1932,Aqua Security,Boston,,Massachusetts,USA,North America,50.0,17.07.24,10,500.0,450.0,Security,Series E,325,2024,"42,3554334","-71,060511"
1933,EverC,Tel Aviv,,,Israel,Asia,16.0,17.07.24,10,160.0,144.0,Security,Unknown,61,2024,"32,0852997","34,7818064"
1935,ON,San Francisco,San Francisco Bay Area,California,USA,North America,60.0,16.07.24,100,60.0,,Retail,Unknown,81,2024,"37,7792588","-122,4193286"
1938,SolarEdge,Tel Aviv,,,Israel,Asia,400.0,15.07.24,,,,Energy,Post-IPO,155,2024,"32,0852997","34,7818064"
1939,Salesforce,San Francisco,San Francisco Bay Area,California,USA,North America,300.0,15.07.24,,,,Sales,Post-IPO,65,2024,"37,7792588","-122,4193286"
1940,Spotify,Stockholm,,,Sweden,Europe,40.0,15.07.24,,,,Media,Post-IPO,2,2024,"59,3251172","18,0710935"
1943,Intuit,Mountain View,San Francisco Bay Area,California,USA,North America,1800.0,10.07.24,10,18000.0,16200.0,Finance,Post-IPO,18,2024,"37,3893889","-122,0832101"
1944,Redbox,Chicago,,Illinois,USA,North America,1000.0,10.07.24,100,1000.0,,Media,Acquired,51,2024,"41,8755616","-87,6244212"
1946,UIPath,New York City,,New York,USA,North America,420.0,09.07.24,10,4200.0,3780.0,Other,Post-IPO,2,2024,"40,7127281","-74,0060152"
1947,UKG,Boston,,Massachusetts,USA,North America,2200.0,03.07.24,14,15714.0,13514.0,HR,Unknown,,2024,"42,3554334","-71,060511"
1948,OpenText,Waterloo,,,Canada,North America,1200.0,03.07.24,2,60000.0,58800.0,Data,Post-IPO,1,2024,"43,4652699","-80,5222961"
1950,Unacademy,Bengaluru,,,India,Asia,250.0,02.07.24,,,,Education,Series H,838,2024,"12,98815675","77,62260004"
1952,Lightricks,Jerusalem,,,Israel,Asia,70.0,01.07.24,12,583.0,513.0,Consumer,Series D,335,2024,"31,78847185","35,21879441"
1953,Upside Foods,Berkeley,San Francisco Bay Area,California,USA,North America,26.0,01.07.24,,,,Food,Unknown,598,2024,"37,8708393","-122,272863"
1954,Sightful,Tel Aviv,,,Israel,Asia,20.0,01.07.24,33,61.0,41.0,Hardware,Unknown,61,2024,"32,0852997","34,7818064"
1957,Priceline,Norwalk,,Connecticut,USA,North America,103.0,28.06.24,7,1471.0,1368.0,Travel,Acquired,77,2024,"41,1175966","-73,4078968"
1958,RealPage,Dallas,,Texas,USA,North America,260.0,27.06.24,4,6500.0,6240.0,Real Estate,Acquired,105,2024,"32,7762719","-96,7968559"
1959,Planet,San Francisco,San Francisco Bay Area,California,USA,North America,180.0,26.06.24,17,1059.0,879.0,Aerospace,Post-IPO,574,2024,"37,7792588","-122,4193286"
1960,Moxion Power,Richmond,San Francisco Bay Area,California,USA,North America,101.0,26.06.24,,,,Energy,Unknown,124,2024,"37,5385087","-77,43428"
1962,Perion,Tel Aviv,,,Israel,Asia,35.0,25.06.24,5,700.0,665.0,Marketing,Post-IPO,76,2024,"32,0852997","34,7818064"
1964,Flutterwave,San Francisco,San Francisco Bay Area,California,USA,North America,30.0,24.06.24,3,1000.0,970.0,Finance,Unknown,509,2024,"37,7792588","-122,4193286"
1967,Ginkgo Bioworks,Boston,,Massachusetts,USA,North America,400.0,20.06.24,35,1143.0,743.0,Healthcare,Post-IPO,2,2024,"42,3554334","-71,060511"
1970,Emma Sleep,Frankfurt am Main,,Hessen,Germany,Europe,200.0,19.06.24,18,1111.0,911.0,Retail,Acquired,,2024,"50,1106444","8,6820917"
1971,Moovit,Tel Aviv,,,Israel,Asia,20.0,19.06.24,10,200.0,180.0,Transportion,Acquired,131,2024,"32,0852997","34,7818064"
1972,Wex,Portland,,Oregon,USA,North America,375.0,18.06.24,5,7500.0,7125.0,Finance,Post-IPO,400,2024,"45,5202471","-122,674194"
1973,PayPal,San Jose,San Francisco Bay Area,California,USA,North America,85.0,18.06.24,,,,Finance,Post-IPO,216,2024,"37,3361663","-121,890591"
1974,Rapyd,Tel Aviv,,,Israel,Asia,30.0,18.06.24,,,,Finance,Unknown,770,2024,"32,0852997","34,7818064"
1975,C2FO,Kansas City,,Kansas,USA,North America,16.0,18.06.24,,,,Finance,Series H,537,2024,"39,100105","-94,5781416"
1977,Chegg,Santa Clara,San Francisco Bay Area,California,USA,North America,441.0,17.06.24,23,1917.0,1476.0,Education,Post-IPO,227,2024,"37,354107","-121,955238"
1979,Bench,Vancouver,,,Canada,North America,450.0,27.12.24,100,450.0,,Finance,Series C,$10 ,2024,"49,2608724","-123,113952"
1980,Lilium,Munich,,Bayern,Germany,Europe,1000.0,23.12.24,100,1000.0,,Aerospace,Post-IPO,"$1,400",2024,"48,1371079","11,5753822"
1985,Foundry,Boston,,Massachusetts,USA,North America,74.0,11.12.24,27,274.0,200.0,Crypto,Subsidiary,,2024,"42,3554334","-71,060511"
1986,Calendly,Atlanta,,Georgia,USA,North America,70.0,11.12.24,13,538.0,468.0,Other,Series B,$351,2024,"33,7489924","-84,3902644"
1987,Canoo,Los Angeles,,California,USA,North America,20.0,11.12.24,,,,Transportation,Post-IPO,$300,2024,"34,0536909","-118,242766"
1990,Bluevine,Tel Aviv,,,Israel,Asia,100.0,10.12.24,18,556.0,456.0,Finance,Unknown,$76 ,2024,"32,0852997","34,7818064"
1993,Carousell,Singapore,,,Singapore,Asia,76.0,06.12.24,7,1086.0,1010.0,Retail,Unknown,$375,2024,"1,2899175","103,8519072"
1995,Circle,Boston,,Massachusetts,USA,North America,50.0,05.12.24,6,833.0,783.0,Crypto,Private Equity,"$1,100",2024,"42,3554334","-71,060511"
1997,Stash,New York City,,New York,USA,North America,88.0,04.12.24,40,220.0,132.0,Finance,Unknown,$480,2024,"40,7127281","-74,0060152"
1998,Booking Holdings,Norwalk,,Connecticut,USA,North America,60.0,04.12.24,,,,Travel,Post-IPO,"$2,800",2024,"41,1175966","-73,4078968"
2000,Skai,Tel Aviv,,,Israel,Asia,80.0,03.12.24,14,571.0,491.0,Marketing,Series E,$60,2024,"32,0852997","34,7818064"
